data,id_recurso,tipo_recurso,servico
2023-06-27,SMTR202307005758,Reprocessamento,550
2023-06-27,SMTR202307005758,Reprocessamento,552
2023-06-27,SMTR202307005758,Reprocessamento,552
2023-06-27,SMTR202307005758,Reprocessamento,553
2023-06-27,SMTR202307005758,Reprocessamento,553
2023-06-27,SMTR202307005758,Reprocessamento,554
2023-06-27,SMTR202307005758,Reprocessamento,554
2023-06-27,SMTR202307005758,Reprocessamento,555
2023-06-27,SMTR202307005758,Reprocessamento,555
2023-06-27,SMTR202307005758,Reprocessamento,557
2023-06-27,SMTR202307005758,Reprocessamento,557
2023-06-27,SMTR202307005758,Reprocessamento,558
2023-06-27,SMTR202307005758,Reprocessamento,558
2023-06-27,SMTR202307005758,Reprocessamento,565
2023-06-27,SMTR202307005758,Reprocessamento,565
2023-06-27,SMTR202307005758,Reprocessamento,583
2023-06-27,SMTR202307005758,Reprocessamento,583
2023-06-27,SMTR202307005758,Reprocessamento,600
2023-06-27,SMTR202307005758,Reprocessamento,600
2023-06-27,SMTR202307005758,Reprocessamento,601
2023-06-27,SMTR202307005758,Reprocessamento,601
2023-06-27,SMTR202307005758,Reprocessamento,607
2023-06-27,SMTR202307005758,Reprocessamento,607
2023-06-27,SMTR202307005758,Reprocessamento,610
2023-06-27,SMTR202307005758,Reprocessamento,610
2023-06-27,SMTR202307005758,Reprocessamento,611
2023-06-27,SMTR202307005758,Reprocessamento,611
2023-06-27,SMTR202307005758,Reprocessamento,613
2023-06-27,SMTR202307005758,Reprocessamento,613
2023-06-27,SMTR202307005758,Reprocessamento,614
2023-06-27,SMTR202307005758,Reprocessamento,614
2023-06-27,SMTR202307005758,Reprocessamento,636
2023-06-27,SMTR202307005758,Reprocessamento,636
2023-06-27,SMTR202307005758,Reprocessamento,691
2023-06-27,SMTR202307005758,Reprocessamento,691
2023-06-27,SMTR202307005758,Reprocessamento,692
2023-06-27,SMTR202307005758,Reprocessamento,692
2023-06-27,SMTR202307005758,Reprocessamento,693
2023-06-27,SMTR202307005758,Reprocessamento,693
2023-06-27,SMTR202307005758,Reprocessamento,702
2023-06-27,SMTR202307005758,Reprocessamento,702
2023-06-27,SMTR202307005758,Reprocessamento,711
2023-06-27,SMTR202307005758,Reprocessamento,711
2023-06-27,SMTR202307005758,Reprocessamento,731
2023-06-27,SMTR202307005758,Reprocessamento,731
2023-06-27,SMTR202307005758,Reprocessamento,741
2023-06-27,SMTR202307005758,Reprocessamento,741
2023-06-27,SMTR202307005758,Reprocessamento,743
2023-06-27,SMTR202307005758,Reprocessamento,743
2023-06-27,SMTR202307005758,Reprocessamento,745
2023-06-27,SMTR202307005758,Reprocessamento,745
2023-06-27,SMTR202307005758,Reprocessamento,746
2023-06-27,SMTR202307005758,Reprocessamento,746
2023-06-27,SMTR202307005758,Reprocessamento,752
2023-06-27,SMTR202307005758,Reprocessamento,752
2023-06-27,SMTR202307005758,Reprocessamento,756
2023-06-27,SMTR202307005758,Reprocessamento,756
2023-06-27,SMTR202307005758,Reprocessamento,766
2023-06-27,SMTR202307005758,Reprocessamento,766
2023-06-27,SMTR202307005758,Reprocessamento,790
2023-06-27,SMTR202307005758,Reprocessamento,790
2023-06-27,SMTR202307005758,Reprocessamento,794
2023-06-27,SMTR202307005758,Reprocessamento,794
2023-06-27,SMTR202307005758,Reprocessamento,801
