Dia,Hora,HBV,Chuva,DirVento,VelVento,Temperatura,Pressao,Umidade,datetime
01/01/2025,16:05:00,,0.0,271,11.3,28.2,1007.1,95,2025-01-01 16:05:00
01/01/2025,16:10:00,,0.0,270,7.8,28.2,1007.1,95,2025-01-01 16:10:00
01/01/2025,16:15:00,,0.0,270,9.9,28.4,1007.1,95,2025-01-01 16:15:00
01/01/2025,16:20:00,,0.0,266,14.8,28.1,1007.1,95,2025-01-01 16:20:00
01/01/2025,16:25:00,,0.0,266,14.8,28.2,1007.1,95,2025-01-01 16:25:00
01/01/2025,16:30:00,,0.0,270,6.0,27.7,1007.3,95,2025-01-01 16:30:00
01/01/2025,16:35:00,,0.0,272,10.2,28.0,1007.3,95,2025-01-01 16:35:00
01/01/2025,16:40:00,,0.0,270,4.2,27.8,1007.5,95,2025-01-01 16:40:00
01/01/2025,16:45:00,,0.0,271,8.1,27.7,1007.3,96,2025-01-01 16:45:00
01/01/2025,16:50:00,,0.0,274,8.5,28.0,1007.3,96,2025-01-01 16:50:00
01/01/2025,16:55:00,,0.0,274,8.8,28.1,1007.3,96,2025-01-01 16:55:00
01/01/2025,17:00:00,,0.0,269,5.6,28.0,1007.1,95,2025-01-01 17:00:00
01/01/2025,17:05:00,,0.0,269,6.7,27.5,1007.1,96,2025-01-01 17:05:00
01/01/2025,17:10:00,,0.0,262,6.4,26.9,1007.1,97,2025-01-01 17:10:00
01/01/2025,17:15:00,,0.0,256,3.5,26.8,1007.3,98,2025-01-01 17:15:00
01/01/2025,17:20:00,,0.0,253,11.3,26.4,1007.1,98,2025-01-01 17:20:00
01/01/2025,17:25:00,,0.0,253,5.3,26.3,1007.1,98,2025-01-01 17:25:00
01/01/2025,17:30:00,,0.0,250,4.9,26.3,1007.1,99,2025-01-01 17:30:00
01/01/2025,17:35:00,,0.0,253,15.2,26.3,1006.6,100,2025-01-01 17:35:00
01/01/2025,17:40:00,,0.0,250,10.9,26.3,1006.6,100,2025-01-01 17:40:00
01/01/2025,17:45:00,,0.0,249,3.9,26.0,1006.6,100,2025-01-01 17:45:00
01/01/2025,17:50:00,,0.0,248,10.6,26.0,1006.6,100,2025-01-01 17:50:00
01/01/2025,17:55:00,,0.0,248,6.4,26.0,1006.6,100,2025-01-01 17:55:00
01/01/2025,18:00:00,,0.0,247,8.5,26.0,1006.6,100,2025-01-01 18:00:00
01/01/2025,18:05:00,,0.0,250,8.5,25.8,1006.4,100,2025-01-01 18:05:00
01/01/2025,18:10:00,,0.0,247,8.8,25.8,1006.4,100,2025-01-01 18:10:00
01/01/2025,18:15:00,,0.0,246,10.2,25.7,1006.4,100,2025-01-01 18:15:00
01/01/2025,18:20:00,,0.0,250,7.8,25.4,1006.4,100,2025-01-01 18:20:00
01/01/2025,18:25:00,,0.0,248,11.3,25.5,1006.6,100,2025-01-01 18:25:00
01/01/2025,18:30:00,,0.0,248,5.6,25.6,1006.6,100,2025-01-01 18:30:00
01/01/2025,18:35:00,,0.0,247,9.9,25.4,1006.6,100,2025-01-01 18:35:00
01/01/2025,18:40:00,,0.0,242,9.9,25.4,1006.6,100,2025-01-01 18:40:00
01/01/2025,18:45:00,,0.0,240,6.4,25.3,1006.9,100,2025-01-01 18:45:00
01/01/2025,18:50:00,,0.0,241,7.8,25.1,1006.6,100,2025-01-01 18:50:00
01/01/2025,18:55:00,,0.0,219,13.1,25.1,1006.9,100,2025-01-01 18:55:00
01/01/2025,19:00:00,,0.0,218,8.8,25.0,1006.9,100,2025-01-01 19:00:00
01/01/2025,19:05:00,,0.0,218,10.9,24.9,1006.9,100,2025-01-01 19:05:00
01/01/2025,19:10:00,,0.0,221,18.7,24.9,1006.7,100,2025-01-01 19:10:00
01/01/2025,19:15:00,,0.0,218,12.7,24.8,1006.9,100,2025-01-01 19:15:00
01/01/2025,19:20:00,,0.0,220,11.6,24.6,1006.9,100,2025-01-01 19:20:00
01/01/2025,19:25:00,,0.0,221,14.8,24.5,1007.1,100,2025-01-01 19:25:00
01/01/2025,19:30:00,,0.0,221,9.5,24.2,1007.0,100,2025-01-01 19:30:00
01/01/2025,19:35:00,,0.0,222,12.3,24.1,1007.2,100,2025-01-01 19:35:00
01/01/2025,19:40:00,,0.0,219,4.9,24.0,1007.7,100,2025-01-01 19:40:00
01/01/2025,19:45:00,,0.0,219,4.2,24.0,1007.8,100,2025-01-01 19:45:00
01/01/2025,19:50:00,,0.0,219,3.5,24.1,1007.8,100,2025-01-01 19:50:00
01/01/2025,19:55:00,,0.0,220,2.8,24.3,1008.0,100,2025-01-01 19:55:00
01/01/2025,20:00:00,,0.0,220,3.9,24.4,1007.7,100,2025-01-01 20:00:00
01/01/2025,20:05:00,,0.0,219,5.6,24.3,1007.8,100,2025-01-01 20:05:00
01/01/2025,20:10:00,,0.0,220,4.9,24.3,1008.0,100,2025-01-01 20:10:00
01/01/2025,20:15:00,,0.0,219,2.1,24.5,1008.3,100,2025-01-01 20:15:00
01/01/2025,20:20:00,,0.0,219,3.2,24.6,1008.3,100,2025-01-01 20:20:00
01/01/2025,20:25:00,,0.0,220,4.6,24.6,1008.2,100,2025-01-01 20:25:00
01/01/2025,20:30:00,,0.0,220,1.1,24.7,1008.2,100,2025-01-01 20:30:00
01/01/2025,20:35:00,,0.0,221,3.2,24.8,1008.6,100,2025-01-01 20:35:00
01/01/2025,20:40:00,,0.0,-,0.0,24.7,1008.4,100,2025-01-01 20:40:00
01/01/2025,20:45:00,,0.0,220,2.1,24.7,1008.6,100,2025-01-01 20:45:00
01/01/2025,20:50:00,,0.0,219,1.1,24.6,1008.3,100,2025-01-01 20:50:00
01/01/2025,20:55:00,,0.0,219,1.8,24.6,1008.2,100,2025-01-01 20:55:00
01/01/2025,21:00:00,,0.0,218,2.1,24.4,1008.2,100,2025-01-01 21:00:00
01/01/2025,21:05:00,,0.0,218,2.5,24.4,1008.4,100,2025-01-01 21:05:00
01/01/2025,21:10:00,,0.0,-,0.0,24.2,1008.6,100,2025-01-01 21:10:00
01/01/2025,21:15:00,,0.0,217,0.4,24.1,1008.6,100,2025-01-01 21:15:00
01/01/2025,21:20:00,,0.0,218,1.8,23.6,1008.8,100,2025-01-01 21:20:00
01/01/2025,21:25:00,,0.0,218,3.2,23.4,1008.7,100,2025-01-01 21:25:00
01/01/2025,21:30:00,,0.0,218,1.8,23.4,1008.8,100,2025-01-01 21:30:00
01/01/2025,21:35:00,,0.0,217,1.8,23.7,1008.7,100,2025-01-01 21:35:00
01/01/2025,21:40:00,,0.0,-,0.0,23.8,1008.8,100,2025-01-01 21:40:00
01/01/2025,21:45:00,,0.0,216,2.5,23.5,1008.7,100,2025-01-01 21:45:00
01/01/2025,21:50:00,,0.0,-,0.0,23.6,1008.7,100,2025-01-01 21:50:00
01/01/2025,21:55:00,,0.0,215,2.1,23.9,1008.7,100,2025-01-01 21:55:00
01/01/2025,22:00:00,,0.0,215,1.8,23.5,1008.4,100,2025-01-01 22:00:00
01/01/2025,22:05:00,,0.0,215,1.8,23.5,1008.7,100,2025-01-01 22:05:00
01/01/2025,22:10:00,,0.0,214,2.5,23.4,1008.7,100,2025-01-01 22:10:00
01/01/2025,22:15:00,,0.0,-,0.0,23.4,1008.4,100,2025-01-01 22:15:00
01/01/2025,22:20:00,,0.0,214,1.1,23.5,1008.6,100,2025-01-01 22:20:00
01/01/2025,22:25:00,,0.0,214,2.1,23.3,1008.6,100,2025-01-01 22:25:00
01/01/2025,22:30:00,,0.0,214,2.1,23.0,1008.4,100,2025-01-01 22:30:00
01/01/2025,22:35:00,,0.0,214,2.1,22.9,1008.3,100,2025-01-01 22:35:00
01/01/2025,22:40:00,,0.0,214,2.5,23.1,1008.4,100,2025-01-01 22:40:00
01/01/2025,22:45:00,,0.0,214,1.8,23.2,1008.2,100,2025-01-01 22:45:00
01/01/2025,22:50:00,,0.0,214,3.2,23.4,1008.4,100,2025-01-01 22:50:00
01/01/2025,22:55:00,,0.0,-,0.0,23.2,1008.4,100,2025-01-01 22:55:00
01/01/2025,23:00:00,,0.0,213,2.5,22.9,1008.7,100,2025-01-01 23:00:00
01/01/2025,23:05:00,,0.0,213,1.1,22.7,1008.7,100,2025-01-01 23:05:00
01/01/2025,23:10:00,,0.0,213,1.4,22.6,1008.8,100,2025-01-01 23:10:00
01/01/2025,23:15:00,,0.0,213,1.4,22.9,1008.7,100,2025-01-01 23:15:00
01/01/2025,23:20:00,,0.0,213,3.5,23.0,1008.7,100,2025-01-01 23:20:00
01/01/2025,23:25:00,,0.0,213,2.8,23.0,1008.6,100,2025-01-01 23:25:00
01/01/2025,23:30:00,,0.0,213,4.2,23.2,1008.6,100,2025-01-01 23:30:00
01/01/2025,23:35:00,,0.0,213,2.5,23.1,1008.3,100,2025-01-01 23:35:00
01/01/2025,23:40:00,,0.0,213,1.8,23.0,1008.2,100,2025-01-01 23:40:00
01/01/2025,23:45:00,,0.0,213,2.1,22.9,1008.2,100,2025-01-01 23:45:00
01/01/2025,23:50:00,,0.0,213,1.8,22.9,1008.6,100,2025-01-01 23:50:00
01/01/2025,23:55:00,,0.0,213,2.1,22.9,1008.3,100,2025-01-01 23:55:00
