id_operadora,id_validador,data,estado_equipamento,primeiro_datetime_gps,ultimo_datetime_gps,qtde_min_entre_a_prim_e_ultima_transmissao,qtde_min_distintos_houve_transmissao,qtde_registros_gps,qtde_registros_gps_georreferenciados,percentual_registros_gps_georreferenciados,percentual_transmissao_a_cada_min
810003286,B35T020D00204005,2026-04-26,ABERTO,2026-04-26 00:00:54.112655,2026-04-26 00:04:54.491624,5,5,5,5,1.0,1.0
2602,B35T020D00202155,2026-04-26,ABERTO,2026-04-26 00:00:42.04593,2026-04-26 00:04:42.317422,5,5,5,5,1.0,1.0
810005981,B35T020D00201160,2026-04-26,ABERTO,2026-04-26 00:00:16.801623,2026-04-26 00:04:16.731719,5,5,5,5,1.0,1.0
810020623,B35T020D00207406,2026-04-26,ABERTO,2026-04-26 00:00:41.337716,2026-04-26 00:04:41.230603,5,5,5,5,1.0,1.0
810004942,B35T020D00203862,2026-04-26,ABERTO,2026-04-26 00:00:29.341704,2026-04-26 00:04:29.114816,5,5,5,5,1.0,1.0
463356517,B35T020D00203485,2026-04-26,ABERTO,2026-04-26 00:00:15.066253,2026-04-26 00:04:14.742012,5,5,5,5,1.0,1.0
463265455,B35T020D00204327,2026-04-26,ABERTO,2026-04-26 00:00:35.856644,2026-04-26 00:04:35.66774,5,5,5,5,1.0,1.0
810017128,B35T020D00208421,2026-04-26,ABERTO,2026-04-26 00:00:15.139818,2026-04-26 00:04:15.046631,5,5,5,5,1.0,1.0
810010969,B35T020D00210154,2026-04-26,ABERTO,2026-04-26 00:00:50.851886,2026-04-26 00:04:50.963903,5,5,5,5,1.0,1.0
810003815,B35T020D00206569,2026-04-26,ABERTO,2026-04-26 00:00:31.404062,2026-04-26 00:04:31.384895,5,5,5,5,1.0,1.0
810002344,B35T020D00205379,2026-04-26,ABERTO,2026-04-26 00:00:33.36978,2026-04-26 00:04:33.310875,5,5,5,5,1.0,1.0
810002779,B35T020D00201486,2026-04-26,ABERTO,2026-04-26 00:00:16.054066,2026-04-26 00:04:15.816859,5,5,5,5,1.0,1.0
